userName;content;score
ANKUSH FF;easy to learn English and to speak the best application i ever seen 👍 if anyone don't know how to learn English in easy way use this app;4
soni Kumari;very excellent aap very helpful for me thankyou;5
Anushka Shakya;Need to add Gaming keyboard and mouse training, and typing! You want to add...;5
Nice Ilara;THE APP ICON?????? EXCUS ME;5
JP Allen;"I have been using this app for five years, I now speak French well enough to get by in France and people in Sweden called me "" duktig"" for how well I was speaking swedish ( it's a compliment). In the same five years, Facebook taught me that cats are funny and I lost respect for most of my friends. . .";5
Vesh Kashyap;बहुत अच्छे;5
Benezir Ansare;Duolingo is best app;5
wish rajput;super🤗🤗👍;3
Shashank Patel;best app;5
Hammad Ali;add urdu language;3
James Talbot;I refuse to have apps that constantly change their app icon to be ugly. how annoying.;1
Rajesh Yadav;this app is very good;5
Urmila Pandey;bahut Achcha hai 50 out of 50;5
Kailas Erande;good app;5
Pranita S;I had worst experience while learning japanese. No learning only ads 😡;1
Anguri Chachi;brtu . ut;5
Dedeepya;🤌perfecto;5
Adrienne Urielle Oria;very informative, helps me learn quickly! 🥰 I recommend this! great app! great developers of this app!;5
Moosa Qaisar;I love it;5
Shamir mandal;fine;5
Sofea Marie Abdul Hafeez;Nice but why do we have to pay just to get unlimted hearts and no adds every time i finish a lesson an ad always pops up and um why is doulingo sick;4
Yuvraj Singh;Good;5
jyoti sharma;The best language game ever!!!!!!;5
Isha Meher;It's a very good app I want to speak korian and it teaches me too good in just 3 months;5
Aditi Kumari;continue;5
Shubham Barman;one of the best languages larning app. but add sanskrit language.;4
Fariya Khan;Very bad experience because i am a pakistani and i speak urdu and i want to learn english. Than how can i learn eng without having option for urdu speakers. Plz help;5
Vijaya Agarwal;This is the best app like a game and it is very easy to learn a language with the help of this application. You just download and and see this is the best game. I will rate this app 100 out of 100 💯;5
Monika Kavitha;super app learning language;5
Poloy;I like it 😀;5
Maruddin Miya;I love this app;5
Medha Mishra;it is. good app for learning new languages;4
Ashok Kumar;nice 👍🙂🙂;5
Vipin Dixit;good;3
Chilapareddy Srilakshmi;Super and useful for future in many ways;5
Hydrog;Warra app;5
Rolly Clave;love this so much;5
Aneesh Kuzhivila;The profile picture 💀💀💀💀💀;5
Safiha Khatoon;Bro what happened to Duolingo 💀;5
Binayak Bose;very good app;5
Tyler Johnson;I like this take on education. it's very interactive in a good way, big fan so far.;5
Anuj Chand;best language app;5
Azmat Ali;This is good Learning language app. But you should put urdu language to. So that I can learn English.;4
Roshini Roshini;amazing app;5
Kizumi- Chan;😊;5
Ruby Sagar;duolingo is the best game Duolingo is very interesting;5
Harikumar Kanhiraparambil;awesome;5
Liam Devlin;a genuinely good product in our modern-day sea of slop;5
Ajay diwaker Diwaker;Ajay;5
richa singh;really good for intermediate english speakers to learn other languages.;5
Aarna Saroj;I think it's very nice because it has superpowers I was learning French and it helped me a lot in school 🎒;5
Rakim Bradford;it's Kool;4
mansura mahabub;It's good for learning new languages . But i hate it because i lost my 320 day streak;1
Zian Francisco;so much fun you can learn everything!!!♥️♥️♥️;5
Saniya Tagala;very good work 😊;5
Roop kala;a very good app I can learn Japanese very easily I know many more words now ..🧿;5
Kunal Borade;very nice app;5
Kajal Prajapati;Good 👍;4
Jan Cygel Pascual;this is the best learning English lesson I've ever see but careful to yours answer or you're heart will go to 0. Love this Language lesson Thanks♥️♥️♥️🇵🇭🇵🇭🇵🇭;5
Ashritha Tharak;good;1
Naina Khatri;very nice aap;5
Warzone Mobile;♥️♥️♥️♥️♥️;5
mukesh sharma;It is so easy to learn new languages on duolingo and by playing games;4
Chelle armenta;kasi ang app na ito ay ipapaging tayong matalino;5
Raj Patil;Amazing;5
Lourenz Masayes;I love it, i still have my 297 days streak!;5
Kate Jomento;It's really good!, I've learned so much japanese words from this app, and it's very entertaining.;5
Sanju Chauhan;this is nice game;4
Dari H;Very easy to learn words, step by step small sentances and my pronunciation has improved alot💚💚so far I love Duolingo.;5
Renold Juanon;I did my Spanish lessons... Pls let my family go...😭😭😭🙏🙏🙏;5
Tanvi Jinawal;nice;5
Jessica Phan;It's pretty good. But I lost my 100 day streak and I'm on my 40th streak. Can you let my family out now?;4
Farhan Inarta;An effective way to learn a language from scratch. But could be better if Duolingo could provide a more realistic conversation example. Also, Duolingo could be better if we could access to so many more languages to learn. Great job Duo!;5
Midori no okami;Love that i can learn multiple languages!!!;5
Rosiana Heni;bagussssss apk nya kok kalian harus donlowad bisa bhs inggris,jepang,germany dan china;5
Lanita Moore;I love it here!;5
Priyanka Thakare;so best app of google playstore;5
Es neha Biswass;this app is so elegant 🤍;5
Shree Shyam;this is nice application;5
Pranay Kumar;😂😂😂 I was just gone for 1 month and this 🆔 iot literally died......😂;5
Diki;so many agenda;1
Itspop Cat;I forgot to do my lesson for a week Duolingo is chase me........................................... I'm joking;5
Cody Martin;kind of fun;4
Mike G;Awesome app. I'm learning a language with 5 minutes a day, for free. It's very well arranged to help you learn new things and review what you've already learned. You have to watch an ad or two unless you pay for premium, but I'm considering it.;5
C4sh3r 43;im actually getting better (hope you see this ryan!!);5
VIMAL Arora;teaches language like a game it's amazing try;5
Wendy Bandala Ramos;I been on a roll;5
Sarvu;excellent app!;5
Sandip Baraf;🏤🏤🏣🌃;1
Yash Singh;the best app to learn foreign language like japanese and other;5
Kakon Das;Good;4
jai teeksha;The best app ever known to humans l, aka the goat app 🐐;5
Shahbaz Ismail;Very nice app;4
Gyanti Kushwaha;Super;5
Samim Aktar;One of the great platform for lerner👍;5
Musa Kazim;good but there is heart problem with it;5
Nile Mercy;good and entertaining;5
Gungunraisingh Singh;this is the very imaging aap we improve our English easily this aap;5
Paislee Friermood;it's amazing duolingo ur so preppy slayyyyyyyy queen;5
Damodara Saikumar;really appreciate;3
viveik c sekaran;really helpful;5
Yofrank Moreno;excellent app;5
Anabiya Kaif;thankyou for duo;5
Akash Manjre;🤦 See the app image first;1
Shivam Nath;true this is English speaking app;5
Ahesan Molla;very useful app;5
elaine ong;this app is amazing 😍🤩, and it helped me with relating to other languages;5
Narendra RATHORE;acha he;5
rhia mee alcala;what happened to doulingos face!?;5
najah humairah;Its so nice i can learn japanese from now on Duolingo is such an great app;5
Azalea Peña;Why does he look funky;5
Neil Haskins;The marketing team has decided to do some stupid stunt where they make the icon look like it's sick with snot dripping out its nose. They need a way to opt out of any weird icon changes.;1
Barbie Ford;a little fun;3
Pooja Choudhary;good very Good 👍 nice day mare yha pr बहुत accha एक्सपीरियंस है इस पर बहुत अच्छे से सीखते हैं इंग्लिश;5
Reneilwe Lukhanyo;it is the best app I ever tried....you learn other languages by playing a game be app ever I recommend that;5
Jasmam Dhaliwal;best app for language learning 😁;5
Kylie Yzabelle Octaviano;it made me learn German fast;5
Vashdev Meharchandani;I love this game to learn English but I sometimes confused but I know I will improve my English;3
tataloo69 _;please add language Persian (فارسی);5
Vijay vijay;super;5
Rahman Mohd;excellent 👌;3
Xaina Hayumi Cortezano;Are... You okay?;5
Ayansh Chauhan;literally I really learn Japanese this app is best 💚💚💚💚💚💚💚💚💚💚💚💚💚💚;5
Samundeswari Kannan;it's a good app to learn;5
Deepali Lad;It is a wonderful app. It help us in learning language more easily;5
Honely Culibra;What happened to duo😭🙏;5
Teju;It's been 3 years, and the app is incredible. I'm confident with the languages I'm learning and looking forward to music classes. I would highly recommend anyone who wants to learn foreign languages from scratch 🙂;5
Rupnarayan Banchhor;This app is perfect for learn languages.;5
James Fortier;Awesome! Enjoyable Learning Experience!;5
YASHFEEN AZEEM;This is very helpful, for learning speaking.;5
Suraj Ghimire;I was searching for Croatian and Lexemburgish. Both languages are absent inapp. This is the only reason i am giving this app a 4 stars or else this app deserves 6 stars out of 5. This app is boon to human kind;4
Areeba Ali;best;5
Levi Lopez;so far so good. I do wish the curriculum had started with the basic alphabet and pronunciations. right now I feel as if I am just mimicking for the most part. I am learning at least a little however. Will update periodically.;5
Lainey Neely;Yurm;5
VENKATESH V;excellent app;5
Joey Tran;When it works, it's great. App stopped working and I'm unable to login via Facebook in app. Login works on Web with Facebook login. Support is non existence.;1
L S.;Why my duolingo Icon is all distorted and has a dripping nose?;4
Vandana Mrigwani;the best language learning app in the world 👍👍🙂;5
Light Gaming;This app is really amazing I am easily learn any language you try this aap;5
Gajju dewangan Gajju dewangan;This photo is very ugly and disturbing 🤮🤢;1
kajol rai;nice app;5
Darwisy Zulkarnain;DUO U SICK LET ME CALL DUA LIPA;5
Shilpi Kumari Singh;it is the best language learning app;5
Suman Yadav;Duolingo is a great way of learning any language. They remind you everything you learnt in previous lessons.;4
V Bx;i like this app very amazing and it's the best way for me to learn languages and I love this app sm;5
Anamika Singh;This bird... Gives me nightmares;5
Vivek Chauhan;this app is also very good.. and I think everyone is used to be app to improve your English and other laguage;5
Jaya Khandagale;very good app I learn eanglish. from. this app;5
Ankit;Easy to learn a language. Lots of love to you Duolingo;5
Nagaratna SK;it's very good app....;5
Kiersten Hough;Clingy but effective.;5
Sammy TW;learning langiages is fun on this app;5
Irtsam Mehmood;Please add urdu to Hindi course🙏;2
Firdous Asim;it's amazing 👏;4
Ritu Asthana;Hang;1
Rodante Penales;is the best;5
harsh Kumar;he is best app for begnier to professional English app thank you duolingo my English speaking to use to app;5
Shawn Mcdonnell;very easy to follow. fun to learn;5
Johnbryll Norombaba;DUOLINGO,FIX YOUR LOADING SCREEN;5
enas maala;very good;5
Haseena Shan;is amazing 👍👍👍;5
Prem Mansoriya;number 1 language learning app with fun;5
Kiranpreet Kaur;bahut Achcha;5
Briana Bogh;such a great way to learn and practice;5
Pavan Ostwal;it is good for learning;5
Valeria Mendoza;I love how cute duolingo acts ,and he isn't bad at all, he's sooo cute I love him;5
Shaheddur Rahman;Bast learning app's🥰🥰🥰;5
Neelima Alugolu;Excellent app 🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰;5
Just Retro;cus🗣️🔥💯🙏(duolingo made me write this);5
Aryan Kulkarni;it's a very good application to learn a new language, not at all like the memes found on the net;5
YADHU RAJ;It helps a lot to me, day by day I'm getting better.;5
Anosha Pridhrshani;This is a very fun game;5
Akhi Man;Don't hurt me please;5
Kazy Turnip;I LOVE this app, totally recommended! But wth happened to Duolingo's face?;5
Aadhavcpraveen2017;Am learning hindi and its the best;5
Misavondo Daniel;no Thai language?;5
Manpal notiyal;this is a nice app;3
Kakoli Nandi;duolingo is an amazing app tq for making this app it help me a lot in learning korean now i can say korean easily;5
Arpit Aryan;This is best game in the world 😍😍😍🥰😘🥰😍😍😍😘😘;5
Karan Pandya;very nice;5
Jesse Hollis;amazingly enjoyable! within just a couple of days I was feeling enough progress was being made to definitely keep on going.;5
Dhruv saini;coll app;5
Kathy Bolhuis;So far, so good! 😁;5
Isaac EVANS;The app is good, but they changed the face of the app and it is so ugly I disinstaled the app;1
Ng Calvin;This game it helped my child to learn.;5
Mr Jasim;good;5
ajay kumar;if you learning English that app is good for learning English;5
Hayley;Duo srry i forgot to do my duo;5
asrymah amir;great for learn every country;5
Victoria Noble;Would be nice to see language XP again. I typically never leave reviews, however I've been using Duolingo for years. First started when I was in the 10th grade and I'm now 22 years old. I like to learn different languages, and one of the upsides was seeing your progress in each. I'd like to be able to see how much XP I have in EACH language rather that it just be one big number. Very disappointing. Whoever thought to take it away needs to lose their job ASAP. Insha Allah 🙏🏾, I would've given 5;4
Nenu Choudhary;nice;5
CHANDRASEKHAR RAJESH;best app;5
Smriti Srivastava;Earlier good but now too many adds and that too with no cross button if I go back then it says you'll lose all your XP points;3
Azeem Khan;Here will be a free certificate also. thanks;5
Nellia Moyo;I think it's a cool language educating app plus it's also been there since before lockdown l ALSO heard that couple that eventually got married actually meet on this app , now would you think about that;4
Ka Shin;wth with this app imej make me want to uninstall;1
Rich Yasmina;The new app logo is gross..;1
tiffany daoana;it's so much fun and you can learn quickly;5
Athena Haldane;I am currently learning Arabic on Duo and it is going very well. I absolutely love Duolingo and I would recommend it to anyone wanting to learn a new language! I just wish they had a section for sign languages.;5
Swastika;I wish if this was all offline;3
jyothi pasupuleti;awareness of students.. for speaking skills.. good thing;5
Samoa Iakimo;very💫 DEMURE💗💫;5
Splash Racer07;Couldn't login anymore 😪 please fix bug;1
Gayrat Evrisov;What happened to the Logo?;5
Jazmine Reed;Duolingo what happened?;5
F R E D;Me ha ayudado mucho a conocer nuevas palabras y mejorar mi inglés, es excelente cómo herramienta de apoyo en tu aprendizaje :));5
Piyush Kesharwani;good;4
Nagendra Pratap Singh Rathore;Duolingo is nice;5
Sk Fayzulla;he is beautiful app;5
Sparkle Vibe;that's amezing;4
E'tiborxon Qo'qonboyeva;It is very useful and easy for learning.;4
Rosie Marie;Duolingo is great & fun but the speaking portion isn't very accurate. There have been many times where I knew I spoke the sentence completely incorrectly but Doulingo still gave me a score of correct. I also wish there was better/more explanation when we get something wrong.;4
Mujamwho___;Please let go of my family;5
Vince Yamud;Audio for listening activities are delayed. I cannot avail any Super Duolingo subscriptions for no apparent reason, and the app has become laggier and laggier over the weeks. It's gotten so bad that my entire phone froze after a lesson, I had to restart my device just for it to work again.;1
Silvia Moreno;really good for learning;1
Rina Singh;it is a very good app;5
CHIp;It will seem normal, then a bit in without warning it will try to indoctrinate. Woke trash. Pay attention. Beware!;1
Versha Tanwar;This is very nice app to learn all languages.;4
মেহেদি হাসান জনি;I don't found it challenging enough. Maybe it's good for beginners but definitely a waste of time for advanced learner. I wasted a lot of time thinking maybe after this it will get harder. But no. Huge time waste.;1
Arjaswa Singh;I learn Hindi from it thanks;5
md shahjahan;This is very interesting platform to learn English. Also other languages.;5
Abhisek Mohanty;good application this app halpe i am improve in my english communication skills;5
Emaediong Udo;Duolingo;5
Mehboobulhaq Ul haq;best English learning app;5
Brynncess the princess 2;WHAT is that profile💀💀💀💀💀;1
Seth;fun. this taught me better than my language teacher.;5
Dani Bluone;good for learning different languages;5
Ravindra Pote;so.good;4
Anshuman Mishra;please give me is very nice for the children who know how to say English;5
Hieu Pham Dang;Tôi thấy trên máy t ko có thành tích như tài khoản khác;1
Fernando Trindade;melhor aplicativo obrigado por existirem;5
Bruno Gasparine;Disgusting icon. Beauty matters.;1
Praloy Roy;good;1
Rahul Patel;bahut badiya;5
Rosie Reay;excellent what more can I say. love it and love learning it at 4am when I wake up.;5
Muskan Khan;my helpful this app;5
Kumari Suman;outstanding game simple learning app;5
Nudroid A;Disgusting icon.;1
Apllo Xpirties;Good app for kids improveing language;5
HANTER MALIK;It's amazing...I love it;5
Pablo Lewis;Please just leave my family alone.;4
Natalia;fun learning and stay motivated;5
Sabina Yasmin;excellent;5
palani palani;it is a good language app;5
Fernando Messias;"Sô faltou o Português de portugal aqui, de resto ""you may learn whatever you wish"".";5
YUVARAJ A (2022BM123);IN HINDI LANGUAGE ONLY THREE UNITS AVAILABLE OR OVERALL COURSE IS THREE UNIT;4
Ria Mondal;this all is good but the old logo is the best the new one was that dirty logo;4
Hassannor Hassan;Great app;5
Arjun Yadav;good app forever';5
Xolani Adapoe;Great for learning new languages!;5
Amelia Tetley;amazing;5
Arnelyn Primicias;This helps me learn more Japanese. Thank you Duolingo :);5
Rahmant Ullah;এটি অনেক ভালো,, যে মানুষ গুলো ইংরেজি জানেনা,তাদের জন্য এটা মনে হয়,বেশি উপকারে আসবে,,;5
Aiyana George;Very good 👍🏻;5
sara adel;Bad application;1
john miller;It sucks!!!!;1
puspa Latha;Nice;5
Bimmer Guy;My family gone;5
Anthony LC;Why is my the duo lingo app icon weird looking. It's ugly to look at. But this isn't the reason why I'm giving it 2 stars. I've been trying to learn Romanian for the past 2 months using this app, and I find it tough to continue.. The content is just plain, and the sentences I learn don't apply to real situations. It's not worth the money. I also don't appreciate that duolingo taunts me via notifications. If I don't have time to do it don't make me feel bad.... Anyway, that's my 2 cents.;2
Renee Notah;No, just no not for me.Not for me.;1
Abhijeet Gedam;question repeated many times.;3
A Google user;I'm not able to follow anyone. I'm not sure if this is a bug so I'm telling it here.;4
Hemu Dhakad;it's a nice and fun learning app I like it;
Shane Ramos;is giving me knowledge;5
Chandan Kumar Chandan Kumar;Very good game;5
Blake Winn;Great if you stay consistent;5
Rina Parvin;It is a very good game, but language learning app.;5
Saran Prakash;😍😍😍😍😍🥰🥰🥰🥰🤗🤗🤗🤩🤩🤩;5
Hamja Ansari;nice steady 😀;4
Rajesh Kumar;it helps to learn lt;5
Kumar Ak;Improve my English language in very well I seriously like this App it is outstanding and free to learn different languages.;5
Mohamed Nasser Almahallawi;very useful app 👍. It can not be better. 👍🤩;5
Raghav G;Good;4
Liddy Shanks;i love duo I can finally talk to my friend in Portuguese;5
Indrani Das;🤟🤟🤟🖐;4
Somaiya Akter;WOW,It is a amazing learning app😍😍;5
Angelo Sumita;Tem me ajudado muito em entender o que falam em inglês. Mas também deveriam disponibilizar lições para aprimorar a conversação.;4
Martin Baruch;6 months and numerous requests to fix the Hebrew vocabulary app. No response and no fix!;1
Datsu;It's a great app and can be eaten with a spoon.;5
B Bob;pi O;5
Rita Gyawali;I like to lingo .very much like Favre like fun to read, yeah, I just don't want to leave the app keep learning, it is very fun to read.;5
Eddie Dungog;it's good for studying 😃;5
Lacee Holland;I love it, its help me learned so much of a multitude of languages;5
Josie Ramos;I luv itttt;5
SudhaNagaRatnam Gorrepati;very nice ☺️;5
audrey amar;Great app, but eww! Change the icon to anything else! I literally don't want to tap the icon out of sheer disgust!;4
Anamika Singh;That is good app to learn english I am not boring in this app. This app is great;5
Samjhana Magar;this is very good;5
Zaya Sanon;I can learn a lot, and it's very good cause my dad always tells me to learn other language;5
Daniela Pillera;i recommend this up cause you can learn different languages while having fun;5
Alfez Hussain;best app;4
Mamta Joshi;thanks duo;5
Ramesh Kumar;It is very good app to learn language very easily;5
Akshay Datt;Good app;5
angela phillips;Duolingo Is Amzing, Especially the new Friend Streak, It is so fun, and It is very helpful for learning languages, i hope more people start to use duolingo, it is such an amzing app, that you duolingo for helping me learn welsh. Diolch a Hwyl!;5
Tim Hixson;Loving it so far;5
loren roca;Cambien el icono de la App ._.;2
Veronica Villalobos;Very good app to use. I'm learning French now because of duolingo. I now know 3 languages.;4
Kristy Guerrero;I would give 5 stars if the tips were available on Android. I have to go to the website on my browser to read them and it's a hassle, but otherwise really great app! Update: tips are now available for some language courses on Android, but not others. Please make them available for the Russian course, I will give you 5 stars then T_T Edited to ask... what *happened* with the new icon?? Is....is Duo ok???... is he dying??;4
Sofia Rod;The best;5
Fariyaad Malik;No noo;1
Rohit Patil;this aap is perfect teach;5
Amira Gunter;I LOVE HOW HE FORCES ME TO DO LESSONS OR I WILL LOSE MY STREAK (2nd day still trying to survive without getting hunted down);5
Aadrit Upadhyay;It's Excellent:);5
Monika K;my favourite app ❤️;5
Akmal ziya;I like this application This is easy and simple and duo is very very very very nice cute I like it;5
Anuj;love me Duolingo app;5
Sadia Hanif;The Super duolingo is saying that give me money 🤑💰 but the thing that is making trouble is that, because of the Super duolingo l can't correct my mistake and some other features 😕 l can't use. .......................................................................... Please 🥺 correct 💯 this mistake of the Super duolingo. ..........................................................................;3
Erica Joy Cortez;very helpful 😊 thanks Duolingo;5
Benjie Loria;Im here to rate 1-star for the annoying icon.;1
Maliha Maliha;the app is very nice I like this...!!!;4
avreen bedi;It very interesting for kids for learning more languages...............;5
Puth Saing;Please add khmer language;4
Stephanie Mcculley;I think that it is a really good way to learn new languages.;5
Sachin Saini;very nice app;5
BALWINDER SINGH SRAN;app icon is disgusting;1
Harphool Singh;omg it's so good;5
Ciera Prawira;it's good and I definitely I recommend you to try it ✨;5
Eduardo Chavez;good 👍;5
Bettina Diaz-Tadeo;I love it;5
Muhtasim;A very useful app for learning a new language. They teach you everything in a fun way with games and real life examples.;4
Champalal Kashyap;nice;5
Jancarlo Avila;Very good learning app;5
Keira Lake;nice app. hi.;5
Sakshi Sharma;best app for learning english;5
Efrain Hdez Chica;Although this is a good app while I was learning I stumbled into some LGBT stories. I don't understand why someone would add stories like that when some children are learning.;2
Tufail ahmad Tufail ahmad;Nice Game;5
Honest Review;Since their most recent update my double xp will disappear even if I still have a lot of time on it. What makes it worse is that you automatically use your double xp when you get it. That move doesn't make sense.;1
apple gaming;cool app;5
MAHAZVI BANO;👍👍;5
Ujjwal Saini;this is very useful app and this is a game I like this game;5
Adrienne Dixon;Very helpful...;5
Ameto Gaming;Ahmad Ijaz best app;5
Rewan Tom;I'm learning a lot;5
MOTU PATLU;Arman hi 👋 ☺ me tecar ban gaye;5
ROHIT Kumar Kol official;most English learning apk injoy this apk;4
Shivam Thakur;Ek dam mast;5
Baria Bhargav;Duolingo is most popular game and helpful;5
Charlie Acuna;🐐;5
Himanshu Mandavi;wow;5
manjula padmalal;Good;5
Iremide Olayiwola;Credit my account;5
Kelsey D;I uninstalled because the icon made me want to puke. I'll just use the browser version from now on.;1
Polo De Dog;Good but little mean with the hearts, like 5 ain't enough when I'm jusy starting out 😭;4
appleboyy;I like it;5
Lulu;Очень хорошое приложение для изучение языков;5
Rameshwar Dubey;this app was working awesome 👍😎;5
CRISTIAN PAOLO VALLEJOS MELENDRES;It's too perfect;5
Linnea Teresa;You ok duo? The picture looks like you are melting.;4
Deepak Kujur;app is very good;5
Indira Gajurel;its very nice🎊🎊🎊🎊;5
Monika Deshpande;Wow 😲;5
Aditya Raj;Great and easy to use;5
Sga Sga;This is a great app. It really helped me learn better Spanish. I would highly recommend this app if you want to learn a new language or more than one language. But the reason that I gave this a four star rating is because I saw you could learn piano and music on this app, so I tried to get it, but I couldn't find out how to! I tried everything that youtube told me to do, but it still won't work. Other than the issue I mentioned, it's a very good app. Also, duolingo, are you sick? You look awful;4
AISWARYA M A;very good app i like it;4
Ramesh Paliwal;nice 👍;5
Akki Tricks Movies;"It was an Amazing app before without the ""hearts"" and gems for taking legendary lessons. It has some bugs - I lost my ""Quest Chest"" potion. I enabled it and it did not got activated.";2
Mary Delgado;this is great but the thumbnail 🤔;5
Sathya Sivanandhan;Why tamil language is not having;1
Ömər Rzazadə;Would put zero if could - It's not free, and is full of ads. I may understand that you need to earn money, but you may reduce the amount of ads (to make it not to show at every lesson's end), f.e. by putting it into menu or something (and making it not to affect phone's performance) First days with Super Duolingo were good (I watched an ad for it), but when it ended, the life also did. The app is more made to earn money, and annoy everyone with Super Duolingo ad rather than teaching;1
udaykiran iddum;Good;5
Ninoshka Arevalo;awesome app to learn English language;5
Farhan Khan;supportive app superb💥;5
MamMmi Jan;I'm from Pakistan 🇵🇰 you can learn Pashto and Urdu from me. Feel free to text, and I want to learn English 😌 🥰😌;5
Chetan Pujari;very good app for learning new languages;5
Type Name Here;Ill rate it five stars because duo is gonna kill me;5
Joey Aderman;it makes Spanish fun, not much else to say;5
Harsh Wankhade;It's has a fun way of teaching a language and has many things in the free version as well;5
Snehadixit d;Duolingo bahut accha app hai .;5
Nur Irdina;👍;5
annie;Awesome! I would defo recommend this app if you wanted to learn a language.;5
Mary Bislick;super nice to practice writing and speaking portuguese, love it❤;5
Bala Raj;good 500 /500;1
Sarkila Parteti;very very nice 👍🙂;5
kush rajput;good;5
Cassi Mansfield;It's a great way to memorize your words, but the AI voice is annoying;5
Angelie Lacatan;I'm sorry I can't understand why Duolingo's face like that;1
Kajric Gborie;The face;1
yuvi yuvaraj;very use full;5
Sai Goutham Nuvvula;who can't rate 5 for such a great app!!!!;5
Vinod Kumar;nice reading application;5
Tam Lily;Cute little learning, in 2 days I learnt a lot already!;5
Yassine El;Useful;5
Chris Kahl;You can learn at your own pace. Spend as much or as little time as you want. I don't mind taking a lesson over if I fail it. I don't see the need to buy lives, I learn more from trying again. I upgraded to super and it was a lot better. Definitely worth it. My biggest issue is that I have learned enough words yet to carry on or understand a normal conversation. Yet I have learned how to say some things in multiple ways. Please expand the vocabulary before you teach things like tenses.;5
Charlie Morrison;goated learning app for languages;5
John Paul Galuz;no skibidi;1
Tanwar Singh;please proivde meaning of words. or good app 😄😄😄;4
Emizan Ismail;Amazing;5
William Phillips;makes it fun to learn different languages.;5
Annie Ross;this us great 👍 👌 🤣;5
Charlie Binder;Was great until they removed the discussion feature. Now it's just okay. The discussions usuallt clarified issues with the exercises The English translations have started to make less sense as well, sometimes being nonsense. considering dropping to two stars if it continues.;2
